IT8.7/2
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "April 6,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:04"
SERIAL  "Batch average data"
MATERIAL  "Fuji Paper"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
K12      48.56   40.91   48.84   70.11   26.70  -19.50   33.06  323.86
K13      12.26   19.90   35.88   51.73  -40.46  -34.79   53.36  220.69
K14      30.02   15.36   33.98   46.13   71.16  -41.72   82.49  329.61
K15      54.59   52.44    4.04   77.54   10.49   88.12   88.74   83.21
K16       1.49    1.58    1.48   13.11   -0.85   -2.10    2.26  247.92
K17      21.91   12.07    2.18   41.32   58.07   39.23   70.08   34.04
K18       6.15   12.09    3.01   41.37  -47.51   32.55   57.59  145.58
K19       4.82    3.07   20.03   20.31   27.71  -62.18   68.07  294.02
K20      17.90   15.87    7.06   46.80   14.58   20.12   24.84   54.08
K21      23.32   19.86    9.69   51.67   19.89   18.71   27.30   43.25
K22      19.63   15.65    7.04   46.51   24.73   19.73   31.63   38.58
L01       4.07    3.24    2.95   20.96   14.86   -2.14   15.01  351.82
L02       5.36    3.52    3.29   22.01   26.95   -2.79   27.09  354.08
L03       8.72    5.24    3.16   27.40   37.42    7.43   38.15   11.24
L04       8.69    5.22    3.18   27.34   37.40    7.20   38.08   10.90
L05      13.58   11.51   10.00   40.42   17.01   -1.70   17.09  354.29
L06      16.33   11.47   11.08   40.36   33.71   -5.26   34.12  351.14
L07      19.60   11.75   12.33   40.81   49.11   -8.20   49.79  350.53
L08      23.58   12.54   13.50   42.05   62.50   -9.30   63.19  351.54
L09      42.40   41.01   35.43   70.18    8.81   -2.33    9.11  345.21
L10      44.43   40.61   36.17   69.90   15.99   -3.87   16.45  346.40
L11      46.76   40.71   37.40   69.97   22.32   -5.44   22.97  346.31
L12      48.54   39.81   37.64   69.33   30.00   -6.88   30.78  347.09
L13      10.78   17.82   33.79   49.27  -40.45  -36.02   54.16  221.68
L14      27.31   13.23   31.21   43.12   73.60  -42.76   85.12  329.85
L15      52.46   49.54    3.12   75.79   12.61   91.12   91.99   82.12
L16       0.99    1.01    0.95    9.03    0.64   -2.03    2.12  287.54
L17      19.70   10.43    1.41   38.60   59.16   42.62   72.92   35.77
L18       4.85    9.93    2.13   37.72  -46.97   33.45   57.66  144.55
L19       4.00    2.26   17.75   16.80   31.68  -63.31   70.79  296.58
L20      22.33   20.11   11.65   51.96   14.17   13.00   19.23   42.53
L21      18.40   15.48    8.30   46.29   19.43   14.38   24.17   36.50
L22      24.70   19.98   11.44   51.81   25.30   13.40   28.63   27.91
Dmin     76.74   79.56   66.43   91.49    0.11   -0.78    0.78  278.26
GS1      67.52   69.64   57.97   86.82    0.89   -0.57    1.05  327.40
GS2      60.35   62.16   52.03   83.00    1.05   -0.86    1.35  320.47
GS3      51.83   53.46   44.76   78.14    0.80   -0.84    1.16  313.60
GS4      45.42   46.82   39.43   74.07    0.84   -1.10    1.38  307.22
GS5      39.75   41.04   34.51   70.20    0.62   -0.97    1.15  302.59
GS6      33.78   34.95   29.32   65.71    0.32   -0.81    0.87  291.68
GS7      29.03   30.08   25.20   61.73    0.11   -0.70    0.71  278.90
GS8      23.78   24.66   20.77   56.75    0.05   -0.88    0.88  273.43
GS9      20.51   21.34   17.97   53.32   -0.25   -0.84    0.87  253.22
GS10     17.06   17.74   15.02   49.18   -0.22   -0.98    1.00  257.49
GS11     14.04   14.62   12.44   45.11   -0.34   -1.11    1.16  253.24
GS12     11.55   12.07   10.36   41.32   -0.59   -1.31    1.44  245.62
GS13      8.88    9.31    8.03   36.58   -0.77   -1.35    1.56  240.22
GS14      7.17    7.54    6.55   33.00   -0.92   -1.47    1.73  238.06
GS15      5.60    5.92    5.16   29.22   -1.21   -1.41    1.86  229.31
GS16      4.33    4.60    4.03   25.57   -1.36   -1.46    1.99  227.08
GS17      3.33    3.54    3.11   22.10   -1.41   -1.37    1.97  224.07
GS18      2.52    2.68    2.41   18.71   -1.28   -1.77    2.18  234.00
GS19      1.86    1.99    1.82   15.41   -1.19   -2.00    2.33  239.28
GS20      1.47    1.55    1.45   12.92   -0.79   -2.09    2.23  249.29
GS21      1.13    1.17    1.09   10.32    0.02   -1.95    1.95  270.52
GS22      0.90    0.91    0.85    8.23    0.85   -1.77    1.96  295.55
Dmax      0.89    0.91    0.85    8.17    0.84   -1.80    1.98  295.05
END_DATA
